TeamID,EventID
1,1
12,1
29,1
43,1
47,1
73,1
77,1
105,1
106,1
112,1
139,1
149,1
1,2
4,2
5,2
9,2
11,2
16,2
18,2
20,2
28,2
43,2
45,2
47,2
58,2
61,2
70,2
74,2
76,2
77,2
79,2
81,2
86,2
89,2
90,2
93,2
99,2
101,2
106,2
110,2
114,2
134,2
135,2
143,2
179,2
197,2
242,2
247,2
582,2
1,724
7,724
11,724
13,724
16,724
18,724
20,724
21,724
22,724
24,724
26,724
29,724
32,724
33,724
34,724
45,724
47,724
60,724
70,724
71,724
77,724
88,724
96,724
125,724
143,724
167,724
242,724
1,1536
7,1536
13,1536
14,1536
15,1536
16,1536
18,1536
20,1536
22,1536
24,1536
26,1536
29,1536
43,1536
58,1536
74,1536
96,1536
99,1536
103,1536
110,1536
143,1536
174,1536
242,1536
1,1537
4,1537
9,1537
12,1537
15,1537
16,1537
20,1537
22,1537
29,1537
32,1537
43,1537
45,1537
47,1537
60,1537
74,1537
77,1537
84,1537
90,1537
91,1537
110,1537
114,1537
182,1537
188,1537
195,1537
257,1537
294,1537
323,1537
1,1538
4,1538
9,1538
12,1538
16,1538
20,1538
29,1538
32,1538
43,1538
45,1538
47,1538
74,1538
77,1538
84,1538
90,1538
100,1538
1,2732
4,2732
29,2732
45,2732
47,2732
74,2732
112,2732
581,2732
1,1571
16,1571
22,1571
29,1571
45,1571
47,1571
74,1571
102,1571
1,179
4,179
12,179
37,179
43,179
45,179
47,179
48,179
54,179
90,179
102,179
242,179
1,2278
4,2278
7,2278
9,2278
11,2278
12,2278
20,2278
21,2278
22,2278
25,2278
29,2278
43,2278
45,2278
47,2278
52,2278
58,2278
67,2278
70,2278
74,2278
75,2278
77,2278
90,2278
96,2278
99,2278
135,2278
139,2278
142,2278
143,2278
151,2278
189,2278
242,2278
257,2278
581,2278
1,3750
29,3750
45,3750
47,3750
190,3750
242,3750
1,3751
11,3751
15,3751
16,3751
20,3751
22,3751
23,3751
29,3751
45,3751
52,3751
74,3751
76,3751
84,3751
96,3751
99,3751
106,3751
107,3751
143,3751
149,3751
187,3751
1,1830
4,1830
5,1830
6,1830
9,1830
12,1830
16,1830
26,1830
28,1830
29,1830
47,1830
54,1830
61,1830
67,1830
74,1830
76,1830
77,1830
79,1830
84,1830
90,1830
102,1830
103,1830
107,1830
108,1830
112,1830
120,1830
167,1830
242,1830
294,1830
581,1830
595,1830
1,3621
2,3621
4,3621
9,3621
12,3621
15,3621
16,3621
20,3621
28,3621
29,3621
32,3621
43,3621
45,3621
46,3621
47,3621
48,3621
70,3621
74,3621
90,3621
96,3621
100,3621
102,3621
107,3621
143,3621
144,3621
149,3621
242,3621
257,3621
288,3621
294,3621
554,3621
1,3232
9,3232
16,3232
22,3232
26,3232
28,3232
29,3232
32,3232
33,3232
34,3232
37,3232
43,3232
45,3232
47,3232
50,3232
73,3232
90,3232
96,3232
106,3232
112,3232
118,3232
134,3232
145,3232
238,3232
242,3232
244,3232
1,3602
9,3602
12,3602
16,3602
20,3602
21,3602
27,3602
28,3602
29,3602
43,3602
45,3602
46,3602
47,3602
48,3602
54,3602
74,3602
76,3602
77,3602
79,3602
90,3602
96,3602
97,3602
102,3602
103,3602
107,3602
135,3602
143,3602
171,3602
210,3602
242,3602
257,3602
288,3602
1,2000
2,2000
6,2000
9,2000
12,2000
16,2000
18,2000
20,2000
21,2000
28,2000
29,2000
32,2000
45,2000
46,2000
47,2000
48,2000
51,2000
54,2000
74,2000
76,2000
77,2000
81,2000
90,2000
97,2000
102,2000
103,2000
112,2000
135,2000
143,2000
210,2000
216,2000
1,1627
6,1627
29,1627
33,1627
43,1627
47,1627
77,1627
84,1627
1,1723
24,1723
28,1723
29,1723
33,1723
43,1723
47,1723
74,1723
77,1723
84,1723
